Coordenada,Terreno,Elevacion,Upper_Level,Fortificacion,Lado_N,Lado_NE,Lado_SE,Lado_S,Lado_SW,Lado_NW
A1,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,NO,NO,NO
A2,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
A3,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
A4,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
A5,CARRETERA,0,NO,NINGUNA,NO,SI,NO,NO,NO,NO
A6,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,SI,NO,NO
B1,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,NO,NO,SI,SI
B2,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
B3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
B4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,SI,SI,SI
B5,CARRETERA,0,NO,NINGUNA,SI,SI,SI,NO,NO,NO
B6,CARRETERA,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
B7,CARRETERA,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
B8,CARRETERA,0,NO,NINGUNA,NO,SI,NO,NO,NO,NO
B9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C1,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,SI,SI,NO
C2,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,NO,NO
C3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,SI,NO,NO
C5,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,SI,SI
C6,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
C7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
C8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,SI,SI,SI
C9,CARRETERA,0,NO,NINGUNA,SI,NO,NO,NO,NO,NO
D0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,SI,NO,NO
D1,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,SI,NO,NO,SI
D2,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
D3,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,SI,NO,NO
D4,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,SI,NO,NO,SI
D5,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
D6,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
D7,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,SI,NO,NO
D8,CARRETERA,0,NO,NINGUNA,SI,SI,NO,NO,NO,SI
D9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E1,CARRETERA,0,NO,NINGUNA,NO,NO,NO,SI,SI,NO
E2,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,NO,NO,SI,SI
E3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
E4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
E5,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,SI,SI,SI
E6,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,SI,SI
E7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
E8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,SI,SI,SI
E9,CARRETERA,0,NO,NINGUNA,SI,SI,NO,NO,NO,NO
F0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F1,CARRETERA,0,NO,NINGUNA,NO,NO,NO,SI,SI,NO
F2,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,SI,NO,NO,NO
F3,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
F4,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,SI,NO,NO
F5,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,SI,NO,NO,SI
F6,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
F7,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
F8,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,SI,SI,NO
F9,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,NO,NO
G1,EDIF. PIEDRA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G2,EDIF. PIEDRA,0,NO,NINGUNA,NO,NO,SI,SI,SI,NO
G3,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,SI,SI
G4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
G5,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,SI,SI,SI,SI
G6,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,SI,SI
G7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
G8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,SI,SI,SI
G9,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,NO,NO,NO,SI
H0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H1,EDIF. PIEDRA,0,NO,NINGUNA,NO,NO,NO,SI,NO,NO
H2,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,SI,NO,NO,SI
H3,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
H4,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,SI,NO,NO
H5,TERRENO ABIERTO,0,NO,NINGUNA,SI,SI,SI,NO,NO,SI
H6,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
H7,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,NO,NO,NO
H8,TERRENO ABIERTO,0,NO,NINGUNA,NO,SI,SI,SI,SI,NO
H9,TERRENO ABIERTO,0,NO,NINGUNA,SI,NO,NO,NO,NO,NO
I1,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I2,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,NO
I3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
I4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
I5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
I6,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
I7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
I8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,SI,SI
I9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,SI
