Coordenada,Terreno,Elevacion,Upper_Level,Fortificacion,Lado_N,Lado_NE,Lado_SE,Lado_S,Lado_SW,Lado_NW
A1,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A2,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A6,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
A9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B1,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B2,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B3,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B4,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B5,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B6,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B7,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B8,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
B9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C1,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C2,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C3,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C4,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C6,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
C9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D1,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D2,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D3,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D4,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D5,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D6,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D8,EDIF. MADERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
D9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E1,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E2,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E3,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E4,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E6,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E7,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
E9,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F1,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F2,EDIF. MADERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F3,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F4,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F6,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F7,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F8,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
F9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G1,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G2,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G4,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G5,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G6,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G7,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G8,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
G9,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H0,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H1,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H2,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H3,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H4,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H6,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H7,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H8,BOSQUE,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
H9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I1,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I2,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I3,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I4,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I5,CARRETERA,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I6,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I7,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I8,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
I9,TERRENO ABIERTO,0,NO,NINGUNA,NO,NO,NO,NO,NO,NO
